Config
Target,http://127.0.0.1:5000
Attack Type,http
Requests/sec,10
Duration,30
Nodes,2

"Traffic Data (time, rps)"
1757329150.49448,1
1757329150.4997034,1
1757329150.6734211,2
1757329150.6806145,2
1757329150.8247623,3
1757329150.8556724,3
1757329150.9893527,4
1757329151.0786226,4
1757329151.136304,5
1757329151.2291112,5
1757329151.2705836,6
1757329151.410012,6
1757329151.4244304,7
1757329151.5671172,7
1757329151.576817,8
1757329151.7270973,8
1757329151.7381434,9
1757329151.8764925,9
1757329151.9060009,10
1757329152.0445685,10
1757329152.0572114,11
1757329152.1919787,11
1757329152.2200327,12
1757329152.3590915,12
1757329152.3860068,13
1757329152.5240324,13
1757329152.5672216,14
1757329152.7020378,14
1757329152.7220278,15
1757329152.8690119,15
1757329152.8791049,16

"Resource Data (time, usage%)"
1757329113.8771718,0.0
1757329115.1303775,30.7
1757329116.16086,29.2
1757329117.1894138,16.7
1757329118.2159781,19.8
1757329119.2530658,47.4
1757329120.302784,61.0
1757329121.3469794,46.5
1757329122.3797414,40.4
1757329123.4128942,48.9
1757329124.4429183,9.8
1757329125.4784925,9.3
1757329126.5088565,12.6
1757329127.5363746,31.5
1757329128.5628085,24.5
1757329129.595481,24.6
1757329130.6279147,9.4
1757329131.6627991,9.3
1757329132.6906955,6.4
1757329133.7189167,13.2
1757329134.7468278,14.9
1757329135.7693648,11.8
1757329136.798908,18.0
1757329137.8233523,16.9
1757329138.862703,17.2
1757329139.88848,9.8
1757329140.9266086,20.1
1757329141.9549644,34.0
1757329142.9857244,27.6
1757329144.0136461,16.5
1757329145.0498903,13.1
1757329146.080236,7.1
1757329147.1083074,8.6
1757329148.1339374,3.4
1757329149.1588106,10.6
1757329150.1902926,8.6
1757329151.2180583,39.8
1757329152.2598817,50.4
1757329153.2977607,52.3
1757329154.3265054,30.7
1757329155.3638103,24.9
